date,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2006-06-13 00:00:00,64140,50497,13643,609988,34832,32184,2648,169870,-195712,365582,129634,104325,25309
2006-06-20 00:00:00,70234,59760,10474,609248,31921,29619,2302,158553,-212004,370557,128929,103239,25690
2006-06-27 00:00:00,74644,64299,10345,609094,29126,26617,2509,148906,-214366,363272,130440,103953,26487
2006-07-03 00:00:00,74362,64035,10327,609997,28030,26111,1919,147385,-221036,368421,130494,103384,27110
2006-07-11 00:00:00,83078,65720,17358,638156,26152,24899,1253,154887,-231797,386684,131894,103735,28159
2006-07-18 00:00:00,79922,61553,18369,626144,25879,23881,1998,157571,-213192,370763,133094,106041,27053
2006-07-25 00:00:00,74676,60017,14659,630918,26665,23798,2867,158787,-208735,367522,133146,106841,26305
2006-08-01 00:00:00,73393,49064,24329,632610,29050,25171,3879,162574,-195839,358413,135609,108612,26997
2006-08-08 00:00:00,62335,35831,26504,642302,32726,27640,5086,177863,-176928,354791,136439,110989,25450
2006-08-15 00:00:00,64477,34468,30009,664127,33483,27369,6114,188488,-176047,364535,137906,112697,25209
2006-08-22 00:00:00,61497,31527,29970,671225,37253,32266,4987,183569,-176000,359569,139236,113085,26151
2006-08-29 00:00:00,63038,29769,33269,693224,38242,33083,5159,195367,-174395,369762,140865,114510,26355
2006-09-05 00:00:00,65062,25420,39642,708389,39966,33933,6033,197321,-178936,376257,144773,118186,26587
2006-09-12 00:00:00,65717,21639,44078,643641,35914,30653,5261,186465,-170599,357064,144741,120322,24419
2006-09-19 00:00:00,67291,29930,37361,645026,33461,29613,3848,183113,-176859,359972,139287,115418,23869
2006-09-26 00:00:00,63309,23652,39657,636649,32002,27515,4487,182597,-164327,346924,137771,113446,24325
2006-10-03 00:00:00,61145,15802,45343,607584,32058,26650,5408,146364,-149667,296031,138317,112832,25485
2006-10-10 00:00:00,62996,23694,39302,604290,32190,27637,4553,151273,-153566,304839,137852,112090,25762
2006-10-17 00:00:00,64930,33159,31771,637302,32456,28578,3878,166370,-167998,334368,135925,109345,26580
2006-10-24 00:00:00,59376,25946,33430,643592,35876,31349,4527,177115,-164761,341876,136560,109032,27528
2006-10-31 00:00:00,63360,27600,35760,661406,33555,29054,4501,187118,-166479,353597,136881,108490,28391
2006-11-07 00:00:00,63193,25719,37474,677284,32611,27310,5301,198054,-168277,366331,136886,107920,28966
2006-11-14 00:00:00,60552,27246,33306,686189,32599,27659,4940,211568,-167854,379422,135161,105821,29340
2006-11-21 00:00:00,56798,21500,35298,698652,32295,27350,4945,227258,-162836,390094,135449,106118,29331
2006-11-28 00:00:00,60853,28712,32141,724881,33073,28814,4259,234918,-178724,413642,136797,106750,30047
2006-12-05 00:00:00,62576,23030,39546,756391,30484,26082,4402,249094,-178003,427097,140607,109738,30869
2006-12-12 00:00:00,64337,13649,50688,761757,32660,29414,3246,253395,-163773,417168,141767,111412,30355
2006-12-19 00:00:00,67428,26900,40528,777807,31298,28875,2423,255698,-176537,432235,145229,114598,30631
2006-12-26 00:00:00,68427,26995,41432,778203,30776,27862,2914,260134,-185911,446045,143972,113013,30959
2007-01-03 00:00:00,69031,13462,55569,786586,28660,23815,4845,270217,-163914,434131,145925,115940,29985
2007-01-09 00:00:00,66592,-2102,68694,805266,27818,20904,6914,281019,-136496,417515,147692,117137,30555
2007-01-16 00:00:00,68632,-5137,73769,830722,25616,18166,7450,285985,-150879,436864,173043,140703,32340
2007-01-23 00:00:00,73216,-3618,76834,851850,26195,18770,7425,298180,-155775,453955,175922,145887,30035
2007-01-30 00:00:00,74268,-13197,87465,877415,25814,18043,7771,307025,-148343,455368,177985,146747,31238
2007-02-06 00:00:00,71175,-26925,98100,908368,26915,17429,9486,323488,-141359,464847,182504,150633,31871
2007-02-13 00:00:00,75818,-14707,90525,824186,20708,6726,13982,309487,-140285,449772,183763,145028,38735
2007-02-20 00:00:00,81208,3608,77600,823882,18571,12409,6162,300138,-156572,456710,182230,140744,41486
2007-02-27 00:00:00,89664,7867,81797,807778,21021,17972,3049,271822,-175249,447071,185410,141641,43769
2007-03-06 00:00:00,98019,40575,57444,796661,21211,18040,3171,264679,-218678,483357,190055,144113,45942
2007-03-13 00:00:00,93911,31218,62693,795928,22233,18749,3484,255644,-215704,471348,191717,144526,47191
2007-03-20 00:00:00,90133,6216,83917,805044,25721,21500,4221,250589,-186023,436612,193714,145437,48277
2007-03-27 00:00:00,91741,-6940,98681,814762,27779,21885,5894,240146,-176301,416447,194717,145799,48918
2007-04-03 00:00:00,94292,-20330,114622,827457,28523,24412,4111,253805,-159943,413748,194324,143124,51200
2007-04-10 00:00:00,97938,-24297,122235,839038,30362,17890,12472,266550,-148706,415256,193993,141361,52632
2007-04-17 00:00:00,102381,-17452,119833,819907,30159,18445,11714,273595,-149121,422716,193661,137472,56189
2007-04-24 00:00:00,98430,-23116,121546,841860,30228,17878,12350,303569,-137733,441302,192041,138233,53808
2007-05-01 00:00:00,109610,-10812,120422,873840,34409,24049,10360,295930,-153668,449598,190513,137201,53312
2007-05-08 00:00:00,116807,-3591,120398,888267,35877,24461,11416,294577,-160291,454868,191895,135963,55932
2007-05-15 00:00:00,116764,-12414,129178,922115,30550,19540,11010,310252,-144472,454724,188586,135006,53580
2007-05-22 00:00:00,118884,-2114,120998,941869,29189,19075,10114,316954,-151401,468355,181425,127274,54151
2007-05-29 00:00:00,124433,20278,104155,973398,31253,19255,11998,324587,-184339,508926,180799,125502,55297
2007-06-05 00:00:00,124939,17393,107546,970800,29918,19543,10375,305361,-197501,502862,178079,124647,53432
2007-06-12 00:00:00,126402,14416,111986,820986,32201,22363,9838,238630,-178452,417082,179916,129879,50037
2007-06-19 00:00:00,120641,12171,108470,838395,34484,20017,14467,242581,-183780,426361,187469,134443,53026
2007-06-26 00:00:00,125444,29560,95884,845656,32934,17322,15612,233628,-195648,429276,184699,133960,50739
2007-07-03 00:00:00,127904,21114,106790,831077,31670,14936,16734,223409,-183430,406839,185874,134750,51124
2007-07-10 00:00:00,130439,26916,103523,841613,34033,20058,13975,215294,-208538,423832,189101,138497,50604
2007-07-17 00:00:00,132644,32623,100021,849479,38077,20359,17718,214064,-225080,439144,189515,138571,50944
2007-07-24 00:00:00,135765,50035,85730,914225,36878,16714,20164,258469,-245868,504337,191631,138597,53034
2007-07-31 00:00:00,133689,49730,83959,913596,36314,15618,20696,272174,-241109,513283,187247,135274,51973
2007-08-07 00:00:00,115501,27300,88201,881918,34437,15472,18965,280528,-200547,481075,182295,130621,51674
2007-08-14 00:00:00,100232,2181,98051,866006,32852,413,32439,289402,-168049,457451,183053,147274,35779
2007-08-21 00:00:00,99014,-18700,117714,855873,28394,-2580,30974,283760,-137212,420972,180712,144595,36117
2007-08-28 00:00:00,102264,-13585,115849,856336,29871,14703,15168,273041,-148653,421694,187159,134316,52843
2007-09-04 00:00:00,105307,-10315,115622,877867,29234,14150,15084,277912,-151674,429586,187501,134091,53410
2007-09-11 00:00:00,102518,-26084,128602,872886,29056,14941,14115,280119,-132821,412940,185733,131847,53886
2007-09-18 00:00:00,102635,-20909,123544,789201,26239,11029,15210,234415,-163524,397939,208204,166333,41871
2007-09-25 00:00:00,117639,26402,91237,824027,29830,13720,16110,219523,-245394,464917,219134,178943,40191
2007-10-02 00:00:00,120655,33908,86747,807474,30695,13424,17271,202718,-257434,460152,225963,184048,41915
2007-10-09 00:00:00,118925,32219,86706,807356,29027,15139,13888,209770,-249226,458996,225791,184363,41428
2007-10-16 00:00:00,124127,38476,85651,882113,31377,14449,16928,229897,-271822,501719,229182,187085,42097
2007-10-23 00:00:00,129861,46863,82998,950044,34215,14243,19972,257223,-291074,548297,235476,193963,41513
2007-10-30 00:00:00,133799,63093,70706,988992,34586,8869,25717,273177,-294562,567739,240020,198096,41924
2007-11-06 00:00:00,129917,47978,81939,1026771,36908,21627,15281,298349,-324344,622693,258493,218404,40089
2007-11-13 00:00:00,129668,30865,98803,1024234,38252,22710,15542,301515,-303365,604880,256209,214829,41380
2007-11-20 00:00:00,130287,14698,115589,1030895,39247,22375,16872,295682,-275657,571339,256395,214130,42265
2007-11-27 00:00:00,129798,-3467,133265,1034854,37518,20454,17064,309816,-248240,558056,252480,209597,42883
2007-12-04 00:00:00,131206,12941,118265,1054511,38318,21767,16551,314958,-273088,588046,261503,219112,42391
2007-12-11 00:00:00,153492,57282,96210,1083984,40638,19464,21174,283870,-336995,620865,265159,220975,44184
2007-12-18 00:00:00,182744,92310,90434,1126297,42358,19160,23198,282634,-379767,662401,266478,218223,48255
2007-12-24 00:00:00,191668,113376,78292,1185335,40789,16823,23966,297664,-402782,700446,263168,211377,51791
2007-12-31 00:00:00,208838,132407,76431,1253424,40362,15971,24391,339002,-408696,747698,248008,194765,53243
2008-01-08 00:00:00,220278,149535,70743,1409581,43169,17199,25970,379845,-452132,831977,257016,202483,54533
2008-01-15 00:00:00,231986,158936,73050,1533305,48494,17201,31293,424351,-498876,923227,291312,238644,52668
2008-01-22 00:00:00,205517,146006,59511,1535068,44520,13017,31503,412801,-462355,875156,294538,237154,57384
2008-01-29 00:00:00,204191,148164,56027,1481883,39541,9943,29598,360500,-481247,841747,312269,247533,64736
2008-02-05 00:00:00,211840,155238,56602,1492736,39428,13355,26073,345554,-492618,838172,312167,245683,66484
2008-02-12 00:00:00,233289,180638,52651,1291206,36973,15268,21705,289773,-515135,804908,305868,239621,66247
2008-02-19 00:00:00,236479,200621,35858,1364541,34314,6038,28276,288776,-537023,825799,314934,240252,74682
2008-02-26 00:00:00,237413,205735,31678,1442222,33859,8884,24975,318931,-541358,860289,318748,238148,80600
2008-03-04 00:00:00,234276,206515,27761,1429622,36271,9982,26289,299345,-534014,833359,314490,232910,81580
2008-03-11 00:00:00,207465,185103,22362,1404018,37667,9513,28154,300348,-514981,815329,324222,241836,82386
2008-03-18 00:00:00,180588,147769,32819,1373609,40489,21193,19296,302076,-484963,787039,320761,249493,71268
2008-03-25 00:00:00,177399,151436,25963,1332433,39758,19802,19956,300751,-467909,768660,313047,243806,69241
2008-04-01 00:00:00,174495,147535,26960,1330378,31086,10312,20774,305426,-454604,760030,317424,250767,66657
2008-04-08 00:00:00,181824,146706,35118,1332630,31519,11384,20135,302453,-466477,768930,321097,253045,68052
2008-04-15 00:00:00,195574,152061,43513,1265996,31871,14416,17455,250157,-495399,745556,332767,263501,69266
2008-04-22 00:00:00,197924,155821,42103,1272077,31178,13124,18054,259180,-492525,751705,331580,262979,68601
2008-04-29 00:00:00,195439,157430,38009,1251166,29407,9471,19936,258715,-475653,734368,331330,267328,64002
2008-05-06 00:00:00,188623,138841,49782,1250389,29955,9348,20607,254069,-461589,715658,332930,271255,61675
2008-05-13 00:00:00,187806,136305,51501,1238919,29175,8552,20623,261846,-448771,710617,330228,270161,60067
2008-05-20 00:00:00,182565,130378,52187,1247111,28801,6879,21922,276221,-432732,708953,323849,265612,58237
2008-05-27 00:00:00,176536,119075,57461,1266144,26902,6199,20703,289562,-410558,700120,323892,268157,55735
2008-06-03 00:00:00,171156,102672,68484,1276041,26705,1727,24978,319741,-384314,704055,316399,261439,54960
2008-06-10 00:00:00,169028,101949,67079,1296642,27431,1569,25862,335928,-369379,705307,304684,248973,55711
2008-06-17 00:00:00,177948,111690,66258,1168954,30847,10902,19945,260871,-397817,658688,303247,246789,56458
2008-06-24 00:00:00,181414,124269,57145,1154898,28111,7548,20563,232799,-422737,655536,307384,256144,51240
2008-07-01 00:00:00,189268,131851,57417,1167222,30625,8895,21730,215321,-434059,649380,302805,246733,56072
2008-07-08 00:00:00,198283,145430,52853,1161788,25632,3525,22107,197600,-446381,643981,307038,251542,55496
2008-07-15 00:00:00,188351,139936,48415,1156998,19756,-913,20669,194404,-429774,624178,298493,241221,57272
2008-07-22 00:00:00,171812,119209,52603,1123635,17188,-1848,19036,207395,-388056,595451,292690,245572,47118
2008-07-29 00:00:00,167564,110417,57147,1117624,18715,726,17989,206091,-381477,587568,293420,243818,49602
2008-08-05 00:00:00,174329,133795,40534,1152172,16273,-2655,18928,204231,-403016,607247,289736,234042,55694
2008-08-12 00:00:00,176772,136439,40333,1134983,18484,2892,15592,201101,-404310,605411,285780,227324,58456
2008-08-19 00:00:00,177589,136925,40664,1154085,15737,-1296,17033,209222,-396667,605889,287410,224447,62963
2008-08-26 00:00:00,194420,159670,34750,1176901,15793,-3775,19568,207179,-419526,626705,287836,218789,69047
2008-09-02 00:00:00,167092,125687,41405,1160354,14525,-828,15353,229010,-380352,609362,285321,220291,65030
2008-09-09 00:00:00,150045,108620,41425,1142849,14396,2114,12282,249638,-350202,599840,278963,218446,60517
2008-09-16 00:00:00,142585,95166,47419,1041011,12719,694,12025,229361,-333645,563006,278008,226429,51579
2008-09-23 00:00:00,134073,93319,40754,1001371,11783,2610,9173,225310,-324022,549332,261660,212216,49444
2008-09-30 00:00:00,130356,88394,41962,979169,13461,3954,9507,215070,-307214,522284,254738,207120,47618
2008-10-07 00:00:00,113657,64142,49515,957222,9585,-3996,13581,218592,-254532,473124,235052,195141,39911
2008-10-14 00:00:00,111687,63497,48190,966314,9746,-7632,17378,228732,-242088,470820,224846,188961,35885
2008-10-21 00:00:00,108925,59212,49713,947826,10792,-6990,17782,227579,-228437,456016,213970,179677,34293
2008-10-28 00:00:00,107557,57200,50357,936270,10847,-5050,15897,220584,-219270,439854,206415,171435,34980
2008-11-04 00:00:00,113323,77238,36085,950267,12605,-872,13477,218413,-239470,457883,200440,158929,41511
2008-11-11 00:00:00,109462,66480,42982,957776,11829,-868,12697,224859,-229547,454406,203150,162775,40375
2008-11-18 00:00:00,105025,63236,41789,935967,11365,1110,10255,218051,-224188,442239,201712,161311,40401
2008-11-25 00:00:00,106935,73745,33190,933085,10397,-2625,13022,216996,-226142,443138,195065,149491,45574
2008-12-02 00:00:00,108053,79269,28784,938038,11689,-3679,15368,222901,-220825,443726,188654,141915,46739
2008-12-09 00:00:00,101162,50099,51063,960745,11249,-3352,14601,241169,-184560,425729,186075,139199,46876
2008-12-16 00:00:00,99969,61972,37997,938447,12300,-1505,13805,247193,-192218,439411,175215,126594,48621
2008-12-22 00:00:00,99599,54715,44884,954964,11940,-3755,15695,250302,-185435,435737,184014,137350,46664
2008-12-30 00:00:00,98977,52014,46963,951269,12624,-1269,13893,243741,-185437,429178,182607,135830,46777
2009-01-06 00:00:00,105912,70364,35548,980181,14603,3543,11060,241162,-219047,460209,182112,131064,51048
2009-01-13 00:00:00,111210,77284,33926,965727,13009,-309,13318,257710,-191598,449308,158920,108864,50056
2009-01-20 00:00:00,122576,91384,31192,970670,13266,1483,11783,258575,-195369,453944,143431,89148,54283
2009-01-27 00:00:00,126432,102664,23768,981814,14359,2341,12018,263018,-194725,457743,122402,70263,52139
2009-02-03 00:00:00,126975,101024,25951,976556,14309,5018,9291,262592,-193043,455635,119993,70124,49869
2009-02-10 00:00:00,135164,113658,21506,965069,15865,10089,5776,251390,-211724,463114,118685,63149,55536
2009-02-17 00:00:00,138711,119488,19223,886498,16690,10514,6176,238964,-210803,449767,119045,64699,54346
2009-02-24 00:00:00,138175,114737,23438,853180,13514,9237,4277,235039,-211444,446483,119019,68524,50495
2009-03-03 00:00:00,131731,105697,26034,841474,13192,9151,4041,218630,-200027,418657,123886,71162,52724
2009-03-10 00:00:00,120601,95501,25100,846361,14526,11582,2944,226268,-189068,415336,128757,75851,52906
2009-03-17 00:00:00,133807,109996,23811,869500,13303,10419,2884,235738,-204139,439877,132964,78701,54263
2009-03-24 00:00:00,151669,138202,13467,931330,13529,10444,3085,255928,-233009,488937,141410,74738,66672
2009-03-31 00:00:00,148267,118338,29929,932159,14887,11334,3553,267354,-205996,473350,139228,71651,67577
2009-04-07 00:00:00,132696,96225,36471,937268,15769,12700,3069,292975,-181623,474598,138176,72411,65765
2009-04-14 00:00:00,142957,111528,31429,938749,17626,15135,2491,267000,-204873,471873,138574,70414,68160
2009-04-21 00:00:00,145083,110597,34486,875942,18664,16345,2319,248282,-209907,458189,131942,69245,62697
2009-04-28 00:00:00,152950,129643,23307,877967,17956,14368,3588,220112,-238824,458936,137888,70598,67290
2009-05-05 00:00:00,175970,163429,12541,929344,20521,17134,3387,197502,-282042,479544,140953,61596,79357
2009-05-12 00:00:00,185333,173960,11373,968675,24656,20458,4198,193472,-295397,488869,143580,60247,83333
2009-05-19 00:00:00,190990,178377,12613,996027,21963,19278,2685,200682,-296701,497383,144429,57656,86773
2009-05-26 00:00:00,205108,192798,12310,1037468,23119,19941,3178,211416,-311495,522911,144194,56029,88165
2009-06-02 00:00:00,194205,179346,14859,1078305,20989,16680,4309,243720,-277993,521713,145872,40712,105160
2009-06-09 00:00:00,182488,169045,13443,1089185,23246,12586,10660,269909,-261305,531214,142629,38033,104596
2009-06-16 00:00:00,158972,144274,14698,990462,19748,16635,3113,259190,-225845,485035,149995,40578,109417
2009-06-23 00:00:00,170974,156195,14779,1018956,19294,16506,2788,261031,-245878,506909,156104,38850,117254
2009-06-30 00:00:00,185664,176990,8674,1038949,20045,16348,3697,245059,-256855,501914,146286,27372,118914
2009-07-07 00:00:00,179227,170778,8449,1001126,20705,18151,2554,218650,-248276,466926,143379,24141,119238
2009-07-14 00:00:00,171595,165050,6545,1026949,21780,17487,4293,220333,-235842,456175,142966,18092,124874
2009-07-21 00:00:00,177470,170062,7408,1032516,23128,18813,4315,226403,-226028,452431,144727,3620,141107
2009-07-28 00:00:00,191666,187442,4224,1091083,24940,18414,6526,249919,-228037,477956,126052,-18643,144695
2009-08-04 00:00:00,198861,194409,4452,1139444,26897,19233,7664,261765,-238461,500226,130990,-15728,146718
2009-08-11 00:00:00,179421,167407,12014,1283970,21756,15419,6337,338136,-199578,537714,132569,-27811,160380
2009-08-18 00:00:00,173156,168844,4312,1299681,26137,19089,7048,322265,-207733,529998,134408,-24407,158815
2009-08-25 00:00:00,169214,163908,5306,1317033,26959,17492,9467,341517,-194683,536200,137408,-31182,168590
2009-09-01 00:00:00,164529,158955,5574,1392039,30155,19716,10439,380883,-188759,569642,136793,-32149,168942
2009-09-08 00:00:00,158928,143790,15138,1340079,26558,16524,10034,377211,-167216,544427,146850,-20849,167699
2009-09-15 00:00:00,154699,145737,8962,1190475,27144,12809,14335,338036,-164609,502645,138713,-28397,167110
2009-09-22 00:00:00,160680,153485,7195,1179749,28127,16812,11315,328843,-171260,500103,141440,-17648,159088
2009-09-29 00:00:00,171856,167048,4808,1183796,28581,21053,7528,300301,-208922,509223,141623,-12051,153674
2009-10-06 00:00:00,169774,161844,7930,1162945,27895,21139,6756,287932,-209213,497145,149013,-5283,154296
2009-10-13 00:00:00,151643,136818,14825,1154668,27900,21346,6554,297660,-163640,461300,152933,2177,150756
2009-10-20 00:00:00,152459,144252,8207,1180191,31873,25876,5997,296293,-200996,497289,155429,3383,152046
2009-10-27 00:00:00,142593,134795,7798,1165972,33116,28838,4278,295909,-194540,490449,154732,3383,151349
2009-11-03 00:00:00,140787,134364,6423,1199980,31366,26775,4591,298314,-196402,494716,155807,6016,149791
2009-11-09 00:00:00,131619,120348,11271,1159504,20524,16057,4467,291592,-175174,466766,155385,8133,147252
2009-11-17 00:00:00,128695,113748,14947,1160204,23010,17948,5062,293200,-174821,468021,157775,9347,148428
2009-11-24 00:00:00,129722,113185,16537,1151256,23766,17619,6147,297022,-170662,467684,155840,7400,148440
2009-12-01 00:00:00,133705,123121,10584,1157622,25571,18942,6629,300916,-183256,484172,155013,5340,149673
2009-12-08 00:00:00,138274,123987,14287,1154043,26426,19596,6830,297430,-179239,476669,157122,5374,151748
2009-12-15 00:00:00,165793,158942,6851,1227576,24750,17410,7340,296249,-218764,515013,155126,-4359,159485
2009-12-22 00:00:00,179091,175234,3857,1270677,24773,12112,12661,303136,-227270,530406,155196,-8776,163972
2009-12-29 00:00:00,174643,167357,7286,1269415,24759,11559,13200,307347,-219932,527279,156663,-7641,164304
2010-01-05 00:00:00,174506,168585,5921,1298093,24602,11540,13062,323042,-205757,528799,152054,-21515,173569
2010-01-12 00:00:00,178233,173796,4437,1292016,25315,11665,13650,325040,-177381,502421,135993,-51659,187652
2010-01-19 00:00:00,191136,187609,3527,1313970,21197,1770,19427,328575,-165019,493594,129098,-71054,200152
2010-01-26 00:00:00,190817,186044,4773,1321425,22741,3278,19463,363908,-129231,493139,126984,-101223,228207
2010-02-02 00:00:00,194948,191878,3070,1358236,24345,2826,21519,386212,-118483,504695,124471,-113523,237994
2010-02-09 00:00:00,160875,157376,3499,1309303,20438,-741,21179,401806,-63123,464929,121441,-119434,240875
2010-02-16 00:00:00,166057,163188,2869,1088715,25442,15081,10361,353377,-99615,452992,118392,-108206,226598
2010-02-23 00:00:00,155161,149358,5803,1008982,22236,12686,9550,310734,-124849,435583,122060,-60754,182814
2010-03-02 00:00:00,140087,135127,4960,989986,22623,18091,4532,290495,-116688,407183,126470,-58790,185260
2010-03-09 00:00:00,139635,120372,19263,994986,22804,19518,3286,293167,-99629,392796,130360,-56777,187137
2010-03-16 00:00:00,149739,130808,18931,1029086,23180,20106,3074,302030,-95706,397736,126992,-67734,194726
2010-03-23 00:00:00,151412,124545,26867,1002939,22373,19329,3044,260760,-116197,376957,129043,-38266,167309
2010-03-30 00:00:00,154661,135813,18848,1002594,22071,14959,7112,229875,-159442,389317,133641,697,132944
2010-04-06 00:00:00,143779,120185,23594,999871,24374,19381,4993,226885,-156098,382983,133441,698,132743
2010-04-13 00:00:00,147222,129179,18043,985537,21661,16486,5175,222444,-156991,379435,132394,-3274,135668
2010-04-20 00:00:00,149208,125084,24124,845478,19117,11329,7788,199403,-156112,355515,131711,9705,122006
2010-04-27 00:00:00,140671,108048,32623,833921,19693,12974,6719,187898,-153594,341492,138131,17972,120159
2010-05-04 00:00:00,139770,104457,35313,826898,21875,15836,6039,163943,-168835,332778,136623,35450,101173
2010-05-11 00:00:00,134355,97018,37337,859421,22593,18686,3907,171131,-168629,339760,134892,34904,99988
2010-05-18 00:00:00,135736,96605,39131,879102,21365,17306,4059,183838,-151948,335786,131096,25503,105593
2010-05-25 00:00:00,137745,107183,30562,899153,20674,15410,5264,191122,-146878,338000,126329,14277,112052
2010-06-01 00:00:00,133386,102450,30936,903800,21267,14470,6797,195989,-147713,343702,125847,21175,104672
2010-06-08 00:00:00,126226,100359,25867,918717,20520,11748,8772,228920,-138551,367471,122397,13239,109158
2010-06-15 00:00:00,127627,108126,19501,789449,22781,18595,4186,195790,-168196,363986,130442,33323,97119
2010-06-22 00:00:00,121143,105947,15196,755125,24380,19287,5093,177924,-174397,352321,135175,41055,94120
2010-06-29 00:00:00,120515,98890,21625,719854,24965,20610,4355,152031,-166843,318874,131527,40855,90672
2010-07-06 00:00:00,109504,96270,13234,722203,23120,19459,3661,147049,-167869,314918,138810,44139,94671
2010-07-13 00:00:00,108549,97685,10864,750225,21168,16412,4756,153082,-167310,320392,139848,41413,98435
2010-07-20 00:00:00,116115,104265,11850,762507,18713,13128,5585,145686,-175087,320773,144156,43305,100851
2010-07-27 00:00:00,117813,105732,12081,797861,18641,14875,3766,155393,-182512,337905,145689,40508,105181
2010-08-03 00:00:00,120897,109763,11134,813510,18928,14426,4502,161767,-188285,350052,146474,41447,105027
2010-08-10 00:00:00,119431,111138,8293,815988,16945,12309,4636,158122,-197460,355582,152288,48511,103777
2010-08-17 00:00:00,127586,117791,9795,835440,20274,15747,4527,159371,-205325,364696,149001,43643,105358
2010-08-24 00:00:00,121119,111106,10013,871381,24088,19517,4571,181880,-201234,383114,150706,42982,107724
2010-08-31 00:00:00,123906,115815,8091,877084,25398,17443,7955,182868,-206667,389535,147283,40300,106983
2010-09-07 00:00:00,132544,127665,4879,917924,27694,19836,7858,197635,-216514,414149,144534,34286,110248
2010-09-14 00:00:00,145435,141608,3827,996801,25840,15284,10556,236297,-199480,435777,130566,14661,115905
2010-09-21 00:00:00,147514,137451,10063,831483,25843,21212,4631,197278,-232358,429636,130437,47223,83214
2010-09-28 00:00:00,149443,141563,7880,842181,27244,22721,4523,183404,-244535,427939,135269,51917,83352
2010-10-05 00:00:00,140317,130765,9552,799974,27701,23387,4314,154067,-243060,397127,137209,58718,78491
2010-10-12 00:00:00,140302,136583,3719,855149,28589,25636,2953,163621,-247807,411428,136745,52098,84647
2010-10-19 00:00:00,139066,136211,2855,885153,28539,24791,3748,178183,-245559,423742,135700,48736,86964
2010-10-26 00:00:00,136679,135081,1598,901073,29095,25355,3740,188572,-241634,430206,134772,45384,89388
2010-11-02 00:00:00,140517,138062,2455,948145,30458,27249,3209,201662,-247353,449015,137176,42910,94266
2010-11-09 00:00:00,133442,127348,6094,993202,28839,25248,3591,215660,-207056,422716,123589,10540,113049
2010-11-16 00:00:00,129713,119259,10454,925918,26921,22102,4819,200029,-179786,379815,117498,13038,104460
2010-11-23 00:00:00,126306,114372,11934,942668,26987,23300,3687,203909,-171397,375306,116365,8894,107471
2010-11-30 00:00:00,127596,117343,10253,936194,27054,23517,3537,204960,-158991,363951,109473,-3781,113254
2010-12-07 00:00:00,127689,118093,9596,950513,26774,22648,4126,210272,-160123,370395,106047,-7357,113404
2010-12-14 00:00:00,128730,120948,7782,985279,26889,23545,3344,215143,-164528,379671,106864,-10700,117564
2010-12-21 00:00:00,141545,139723,1822,1015730,27170,22082,5088,215482,-188925,404407,110551,-11460,122011
2010-12-28 00:00:00,143620,141534,2086,1035783,28324,24430,3894,214093,-177735,391828,110711,-24733,135444
2011-01-04 00:00:00,137761,136274,1487,1015284,28755,25253,3502,222157,-165250,387407,108282,-25812,134094
2011-01-11 00:00:00,133465,133387,78,1041236,32063,28112,3951,228381,-175145,403526,117347,-16879,134226
2011-01-18 00:00:00,127950,125608,2342,1022317,32380,28950,3430,222056,-179972,402028,123581,-5301,128882
2011-01-25 00:00:00,128695,127346,1349,1017632,33169,29486,3683,224138,-179425,403563,123462,-7205,130667
2011-02-01 00:00:00,138199,137672,527,1069152,39790,34809,4981,221522,-208160,429682,129563,-2817,132380
2011-02-08 00:00:00,129131,128771,360,1056996,39144,34401,4743,233980,-188864,422844,129384,-4436,133820
2011-02-15 00:00:00,128709,122115,6594,893334,41901,35934,5967,214599,-201992,416591,136723,13157,123566
2011-02-22 00:00:00,130884,125298,5586,870241,40160,34452,5708,194359,-210550,404909,143566,25251,118315
2011-03-01 00:00:00,134344,130130,4214,834192,40465,33819,6646,167226,-213222,380448,144234,25722,118512
2011-03-08 00:00:00,157385,153941,3444,856178,41986,33941,8045,159297,-234151,393448,144137,17442,126695
2011-03-15 00:00:00,136697,126709,9988,822825,39154,32956,6198,172267,-195322,367589,139162,19740,119422
2011-03-22 00:00:00,123256,114441,8815,810211,38469,31414,7055,172902,-186147,359049,142493,21398,121095
2011-03-29 00:00:00,128820,119452,9368,813737,38690,32464,6226,173894,-197319,371213,150875,28644,122231
2011-04-05 00:00:00,134617,126229,8388,852919,37828,31675,6153,171031,-202173,373204,152119,27879,124240
2011-04-12 00:00:00,132738,112136,20602,854752,36698,29819,6879,181600,-181668,363268,157358,35274,122084
2011-04-19 00:00:00,127543,96822,30721,769869,32550,23567,8983,191177,-194478,385655,159728,72319,87409
2011-04-26 00:00:00,127838,95712,32126,753555,31711,23151,8560,181674,-194894,376568,161512,74572,86940
2011-05-03 00:00:00,138750,98284,40466,733492,32349,24845,7504,147635,-181363,328998,155546,63003,92543
2011-05-10 00:00:00,139998,100176,39822,759049,33068,26645,6423,162353,-182292,344645,150951,59552,91399
2011-05-17 00:00:00,133266,87440,45826,756592,35201,28126,7075,166054,-159339,325393,146429,53289,93140
2011-05-24 00:00:00,126993,90800,36193,759727,32947,25110,7837,174842,-159819,334661,143914,52140,91774
