date,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
2006-06-13 00:00:00,49172,27440,21732,274024,10606,6012,4594,42090,-70203,112293,72176,70352,1824
2006-06-20 00:00:00,45403,32242,13161,257008,10207,6243,3964,40204,-75962,116166,72825,70879,1946
2006-06-27 00:00:00,47885,38436,9449,270201,9958,6533,3425,38634,-80110,118744,72619,70503,2116
2006-07-03 00:00:00,52146,45779,6367,267968,11157,8186,2971,37913,-86156,124069,72885,70811,2074
2006-07-11 00:00:00,51338,44835,6503,274538,8187,5744,2443,45710,-83281,128991,73393,71410,1983
2006-07-18 00:00:00,48948,42146,6802,273328,7575,3036,4539,41994,-79170,121164,72801,70896,1905
2006-07-25 00:00:00,46440,38759,7681,275833,6794,1668,5126,42861,-78526,121387,73707,71926,1781
2006-08-01 00:00:00,44902,36221,8681,276029,7845,3660,4185,43128,-77746,120874,74952,73004,1948
2006-08-08 00:00:00,46228,37721,8507,262157,8632,4153,4479,39597,-80785,120382,74844,72788,2056
2006-08-15 00:00:00,45852,39882,5970,235116,6666,556,6110,25225,-80190,105415,74717,72724,1993
2006-08-22 00:00:00,46836,39607,7229,234418,6784,-272,7056,21783,-80717,102500,75802,73864,1938
2006-08-29 00:00:00,49101,40782,8319,236628,7366,-179,7545,21195,-79639,100834,76409,74379,2030
2006-09-05 00:00:00,54216,43994,10222,247557,7505,-2794,10299,20974,-83756,104730,78472,76327,2145
2006-09-12 00:00:00,54217,43805,10412,248414,7518,-2280,9798,21597,-84474,106071,76257,74417,1840
2006-09-19 00:00:00,46120,37982,8138,250481,7860,-2069,9929,25373,-78242,103615,76009,74360,1649
2006-09-26 00:00:00,43772,37155,6617,253351,8333,-4794,13127,27427,-77512,104939,76686,75091,1595
2006-10-03 00:00:00,42201,34123,8078,257357,8899,-4750,13649,27525,-76863,104388,78135,76274,1861
2006-10-10 00:00:00,42301,33141,9160,227041,8284,-3270,11554,22933,-74815,97748,76569,74882,1687
2006-10-17 00:00:00,40109,29451,10658,219688,6630,-2318,8948,18644,-74083,92727,76929,74718,2211
2006-10-24 00:00:00,35763,24642,11121,221340,12124,2466,9658,16697,-73177,89874,78153,76232,1921
2006-10-31 00:00:00,42097,30444,11653,218788,6749,-1253,8002,17294,-76900,94194,78872,76366,2506
2006-11-07 00:00:00,42949,26866,16083,223022,8938,5956,2982,16899,-78196,95095,80345,77936,2409
2006-11-14 00:00:00,42592,25475,17117,239301,8412,6158,2254,21565,-77170,98735,79254,77062,2192
2006-11-21 00:00:00,42528,25426,17102,244317,7714,4886,2828,23896,-76480,100376,80908,78266,2642
2006-11-28 00:00:00,43037,26000,17037,244972,6373,2141,4232,25174,-74999,100173,81311,78722,2589
2006-12-05 00:00:00,46357,26948,19409,237704,7006,3552,3454,21190,-77088,98278,81393,78894,2499
2006-12-12 00:00:00,46441,26531,19910,238916,9808,5695,4113,22543,-76831,99374,80983,77998,2985
2006-12-19 00:00:00,46402,28347,18055,240088,10996,7113,3883,24401,-78237,102638,79894,77163,2731
2006-12-26 00:00:00,46694,28242,18452,246338,11918,7765,4153,23734,-78029,101763,80084,77373,2711
2007-01-03 00:00:00,50597,36231,14366,267023,10913,6706,4207,24294,-84608,108902,80883,78292,2591
2007-01-09 00:00:00,52679,38399,14280,276351,10852,5331,5521,25687,-87371,113058,83266,81048,2218
2007-01-16 00:00:00,58422,42510,15912,283809,7846,1618,6228,23196,-92305,115501,90159,88456,1703
2007-01-23 00:00:00,59380,42198,17182,278693,6412,1526,4886,22265,-96042,118307,91290,89740,1550
2007-01-30 00:00:00,58822,41815,17007,274851,6106,-1029,7135,24913,-92570,117483,91072,89297,1775
2007-02-06 00:00:00,62939,46526,16413,284824,6631,-3196,9827,28190,-95440,123630,92493,90320,2173
2007-02-13 00:00:00,65226,48810,16416,293311,7237,-2879,10116,31929,-99943,131872,93334,90994,2340
2007-02-20 00:00:00,68262,50067,18195,294636,6838,-2911,9749,30951,-101373,132324,93961,91424,2537
2007-02-27 00:00:00,71865,54955,16910,306992,6641,-4949,11590,30676,-107684,138360,94540,92787,1753
2007-03-06 00:00:00,69562,54300,15262,311045,6237,-5476,11713,30777,-105997,136774,95925,94038,1887
2007-03-13 00:00:00,70789,55654,15135,331580,7265,-5094,12359,27238,-106566,133804,95080,92792,2288
2007-03-20 00:00:00,68734,50325,18409,330649,6617,-3391,10008,23458,-106341,129799,95203,92978,2225
2007-03-27 00:00:00,67699,47787,19912,331766,6971,-3126,10097,22993,-104021,127014,94458,92293,2165
2007-04-03 00:00:00,67173,44633,22540,333492,7937,-1743,9680,28162,-102215,130377,94887,92834,2053
2007-04-10 00:00:00,66217,43923,22294,316785,9084,-820,9904,25110,-102708,127818,94440,91772,2668
2007-04-17 00:00:00,58979,41388,17591,302068,7202,-2236,9438,25063,-100827,125890,93230,91020,2210
2007-04-24 00:00:00,56392,38000,18392,293664,7058,-1416,8474,23436,-98627,122063,93208,90704,2504
2007-05-01 00:00:00,57725,36966,20759,291528,6915,-1214,8129,21503,-101081,122584,95264,92334,2930
2007-05-08 00:00:00,56947,37975,18972,280627,6867,-2644,9511,23447,-99602,123049,94631,92062,2569
2007-05-15 00:00:00,59569,40373,19196,289122,7230,-2435,9665,26513,-101353,127866,94919,92331,2588
2007-05-22 00:00:00,63058,43201,19857,295592,6978,-4220,11198,27257,-102085,129342,95335,92318,3017
2007-05-29 00:00:00,59964,41000,18964,295678,6231,-3461,9692,30170,-100005,130175,95247,92263,2984
2007-06-05 00:00:00,54314,39380,14934,269546,6180,-3791,9971,26996,-98472,125468,95894,92685,3209
2007-06-12 00:00:00,52266,36725,15541,262298,5552,-3729,9281,25197,-94731,119928,95347,92322,3025
2007-06-19 00:00:00,54859,39396,15463,262445,5303,-4391,9694,25747,-95578,121325,94928,91585,3343
2007-06-26 00:00:00,49180,31185,17995,249378,4572,-5275,9847,21802,-88927,110729,96119,93058,3061
2007-07-03 00:00:00,46091,25163,20928,243801,4624,-5845,10469,22538,-84613,107151,96642,93622,3020
2007-07-10 00:00:00,52920,31296,21624,255436,6501,-4544,11045,22241,-88997,111238,94596,91425,3171
2007-07-17 00:00:00,53508,35029,18479,261751,7400,-3371,10771,23124,-95005,118129,94549,91613,2936
2007-07-24 00:00:00,54315,37222,17093,268048,7655,-2784,10439,25929,-97710,123639,95819,92683,3136
2007-07-31 00:00:00,60416,46764,13652,283697,7379,-5151,12530,30977,-104377,135354,96517,94477,2040
2007-08-07 00:00:00,56692,41665,15027,259034,7771,-5438,13209,22997,-101676,124673,97197,95425,1772
2007-08-14 00:00:00,46050,29753,16297,242788,7706,-4257,11963,22862,-92922,115784,95449,93029,2420
2007-08-21 00:00:00,41333,21298,20035,242703,8180,-3343,11523,25266,-85795,111061,94607,92172,2435
2007-08-28 00:00:00,47497,29752,17745,248443,11345,2905,8440,21181,-94264,115445,94611,92028,2583
2007-09-04 00:00:00,48970,33221,15749,253578,12776,4868,7908,20513,-100615,121128,95403,93104,2299
2007-09-11 00:00:00,46859,29915,16944,248039,13332,4859,8473,22718,-94607,117325,95178,92452,2726
2007-09-18 00:00:00,44040,21974,22066,252457,13461,8416,5045,22811,-92516,115327,95615,92389,3226
2007-09-25 00:00:00,47394,25675,21719,269851,13647,8141,5506,28218,-93454,121672,95538,92334,3204
2007-10-02 00:00:00,45677,20304,25373,263747,14430,10177,4253,28490,-90171,118661,95900,92631,3269
2007-10-09 00:00:00,42250,12633,29617,247583,13255,9674,3581,27611,-82846,110457,95432,92212,3220
2007-10-16 00:00:00,42571,11756,30815,248001,13451,9773,3678,28037,-83945,111982,95640,92286,3354
2007-10-23 00:00:00,44325,13847,30478,251894,13214,8524,4690,28694,-83976,112670,97164,93671,3493
2007-10-30 00:00:00,43189,8589,34600,250670,13010,8630,4380,30984,-79768,110752,97673,94069,3604
2007-11-06 00:00:00,40745,1621,39124,257575,13891,9413,4478,35962,-75826,111788,97501,94372,3129
2007-11-13 00:00:00,40965,7478,33487,267911,14232,10364,3868,37319,-81868,119187,97810,94559,3251
2007-11-20 00:00:00,42262,6969,35293,263136,13916,9342,4574,35226,-81593,116819,98602,95123,3479
2007-11-27 00:00:00,43677,8710,34967,259339,13345,8236,5109,34689,-81812,116501,98605,95023,3582
2007-12-04 00:00:00,44399,3755,40644,260606,13130,9303,3827,35689,-79657,115346,99362,95859,3503
2007-12-11 00:00:00,46646,7335,39311,262209,14048,9941,4107,31122,-80554,111676,99298,95414,3884
2007-12-18 00:00:00,45709,2648,43061,260724,13850,9387,4463,29088,-74851,103939,98950,95044,3906
2007-12-24 00:00:00,46318,2253,44065,259105,13207,9221,3986,28141,-74127,102268,99313,95464,3849
