am_long,am_short,date,dealer_long,dealer_short,lev_long,lev_short,mm_long,mm_net,mm_short,oi,other_long,other_net,other_short,pm_long,pm_net,pm_short,sd_long,sd_net,sd_short
628,0,2006-06-13 00:00:00,58921,59214,19248,22467,19876,-2591,22467,123197,450,450,0,58921,-293,59214,19248,-3219,22467
613,0,2006-06-20 00:00:00,25556,19990,18452,24602,19065,-5537,24602,57878,450,-167,617,25556,5566,19990,18452,-6150,24602
613,0,2006-06-27 00:00:00,37218,19295,12668,29822,13281,-16541,29822,63923,450,-167,617,37218,17923,19295,12668,-17154,29822
613,407,2006-07-03 00:00:00,26618,19680,19475,25411,20088,-5730,25818,59261,450,-167,617,26618,6938,19680,19475,-5936,25411
613,401,2006-07-11 00:00:00,31574,21268,17669,28455,18282,-10574,28856,63069,450,-167,617,31574,10306,21268,17669,-10786,28455
634,0,2006-07-18 00:00:00,39999,18684,17377,31234,18011,-13223,31234,69938,450,-1579,2029,39999,21315,18684,17377,-13857,31234
634,0,2006-07-25 00:00:00,45623,18804,14821,34295,15455,-18840,34295,74011,450,-1579,2029,45623,26819,18804,14821,-19474,34295
634,0,2006-08-01 00:00:00,35667,23265,15954,23990,16588,-7402,23990,65680,450,-379,829,35667,12402,23265,15954,-8036,23990
429,0,2006-08-08 00:00:00,36190,24311,20156,33692,20585,-13107,33692,73268,450,-379,829,36190,11879,24311,20156,-13536,33692
429,0,2006-08-15 00:00:00,41061,23084,11757,26450,12186,-14264,26450,66723,450,-571,1021,41061,17977,23084,11757,-14693,26450
429,0,2006-08-22 00:00:00,37097,27278,15971,25979,16400,-9579,25979,69168,450,-93,543,37097,9819,27278,15971,-10008,25979
420,0,2006-08-29 00:00:00,43599,27081,11177,25017,11597,-13420,25017,69500,450,-772,1222,43599,16518,27081,11177,-13840,25017
870,400,2006-09-05 00:00:00,44098,25416,11183,28460,12053,-16807,28860,71028,450,-91,541,44098,18682,25416,11183,-17277,28460
857,430,2006-09-12 00:00:00,62490,21788,12500,42995,13357,-30068,43425,98686,450,-1004,1454,62490,40702,21788,12500,-30495,42995
450,466,2006-09-19 00:00:00,54448,1654,11800,52262,12250,-40478,52728,78095,450,-1460,1910,54448,52794,1654,11800,-40462,52262
450,466,2006-09-26 00:00:00,46640,9940,12868,39116,13318,-26264,39582,71151,450,-520,970,46640,36700,9940,12868,-26248,39116
450,483,2006-10-03 00:00:00,50326,10647,10825,39865,11275,-29073,40348,73981,450,-537,987,50326,39679,10647,10825,-29040,39865
447,509,2006-10-10 00:00:00,74653,3064,9568,67486,10015,-57980,67995,97911,447,-539,986,74653,71589,3064,9568,-57918,67486
450,543,2006-10-17 00:00:00,82671,1346,11600,76374,12050,-64867,76917,107386,911,-512,1423,82671,81325,1346,11600,-64774,76374
450,576,2006-10-24 00:00:00,87464,2010,8233,77085,8683,-68978,77661,110080,450,-945,1395,87464,85454,2010,8233,-68852,77085
450,572,2006-10-31 00:00:00,70029,8405,6793,56855,7243,-50184,57427,91757,450,-1818,2268,70029,61624,8405,6793,-50062,56855
450,563,2006-11-07 00:00:00,76900,10342,10194,67362,10644,-57281,67925,104471,450,-1202,1652,76900,66558,10342,10194,-57168,67362
450,563,2006-11-14 00:00:00,65383,13795,4534,52524,4984,-48103,53087,89215,450,-1131,1581,65383,51588,13795,4534,-47990,52524
450,563,2006-11-21 00:00:00,61810,14659,5036,49267,5486,-44344,49830,85649,450,-33,483,61810,47151,14659,5036,-44231,49267
450,545,2006-11-28 00:00:00,38062,25955,16827,36738,17277,-20006,37283,80863,2205,1671,534,38062,12107,25955,16827,-19911,36738
450,545,2006-12-05 00:00:00,28571,32784,21404,32591,21854,-11282,33136,83424,2205,2205,0,28571,-4213,32784,21404,-11187,32591
450,545,2006-12-12 00:00:00,28313,33984,23428,33474,23878,-10141,34019,94269,2599,2599,0,28313,-5671,33984,23428,-10046,33474
0,1033,2006-12-19 00:00:00,14452,15892,18613,28737,18613,-11157,29770,56391,1671,1671,0,14452,-1440,15892,18613,-10124,28737
0,1033,2006-12-26 00:00:00,19271,15032,18774,29135,18774,-11394,30168,58874,1671,1671,0,19271,4239,15032,18774,-10361,29135
0,1059,2007-01-03 00:00:00,38349,16124,9698,34246,9698,-25607,35305,66805,950,-3,953,38349,22225,16124,9698,-24548,34246
0,1059,2007-01-09 00:00:00,60950,16504,5284,47646,5284,-43421,48705,82330,1602,1602,0,60950,44446,16504,5284,-42362,47646
0,1059,2007-01-16 00:00:00,67777,13180,2995,47845,2995,-45909,48904,85561,1166,339,827,67777,54597,13180,2995,-44850,47845
0,1089,2007-01-23 00:00:00,68629,14259,3430,47769,3430,-45428,48858,85714,490,-316,806,68629,54370,14259,3430,-44339,47769
0,1574,2007-01-30 00:00:00,82734,13773,4706,62245,4706,-59113,63819,102875,559,-1254,1813,82734,68961,13773,4706,-57539,62245
0,1630,2007-02-06 00:00:00,74627,18553,6358,52213,6358,-47485,53843,97150,1381,-636,2017,74627,56074,18553,6358,-45855,52213
0,1583,2007-02-13 00:00:00,92039,15951,3788,68581,3788,-66376,70164,111499,450,-123,573,92039,76088,15951,3788,-64793,68581
0,1839,2007-02-20 00:00:00,80321,18529,4127,61196,4127,-58908,63035,104059,450,-483,933,80321,61792,18529,4127,-57069,61196
0,1823,2007-02-27 00:00:00,69951,23619,10854,58219,10854,-49188,60042,108166,1306,20,1286,69951,46332,23619,10854,-47365,58219
0,1053,2007-03-06 00:00:00,49341,31614,11513,35378,11513,-24918,36431,88526,1306,1306,0,49341,17727,31614,11513,-23865,35378
0,1053,2007-03-13 00:00:00,48785,27323,9485,36691,9485,-28259,37744,92596,2517,1714,803,48785,21462,27323,9485,-27206,36691
0,450,2007-03-20 00:00:00,16894,6265,12417,29364,12417,-17397,29814,58319,1877,-123,2000,16894,10629,6265,12417,-16947,29364
0,990,2007-03-27 00:00:00,16425,5138,14237,30771,14237,-17524,31761,57848,2717,-283,3000,16425,11287,5138,14237,-16534,30771
0,977,2007-04-03 00:00:00,28438,9400,8260,34657,8260,-27374,35634,62886,1877,1877,0,28438,19038,9400,8260,-26397,34657
0,977,2007-04-10 00:00:00,32171,8391,11483,35668,11483,-25162,36645,62641,450,-44,494,32171,23780,8391,11483,-24185,35668
0,977,2007-04-17 00:00:00,32855,13387,15329,39475,15329,-25123,40452,71710,1647,529,1118,32855,19468,13387,15329,-24146,39475
0,977,2007-04-24 00:00:00,34192,17928,20597,42427,20597,-22807,43404,82562,2117,1064,1053,34192,16264,17928,20597,-21830,42427
0,1712,2007-05-01 00:00:00,44235,18121,15832,45266,15832,-31146,46978,84786,860,860,0,44235,26114,18121,15832,-29434,45266
0,1632,2007-05-08 00:00:00,49617,17931,13989,45205,13989,-32848,46837,85725,450,450,0,49617,31686,17931,13989,-31216,45205
0,1718,2007-05-15 00:00:00,52001,13414,14380,46368,14380,-33706,48086,85414,450,-2457,2907,52001,38587,13414,14380,-31988,46368
0,1987,2007-05-22 00:00:00,76618,6344,10537,69165,10537,-60615,71152,104469,450,-1384,1834,76618,70274,6344,10537,-58628,69165
0,2130,2007-05-29 00:00:00,76968,7332,7387,62150,7387,-56893,64280,101658,450,-2329,2779,76968,69636,7332,7387,-54763,62150
0,3089,2007-06-05 00:00:00,78136,6662,8015,66633,8015,-61707,69722,103680,450,-920,1370,78136,71474,6662,8015,-58618,66633
0,4058,2007-06-12 00:00:00,102198,8116,4297,84458,4297,-84219,88516,157623,450,-1254,1704,102198,94082,8116,4297,-80161,84458
0,4184,2007-06-19 00:00:00,98632,2650,2866,79673,2866,-80991,83857,113212,965,-1036,2001,98632,95982,2650,2866,-76807,79673
452,4206,2007-06-26 00:00:00,78636,7365,10666,61131,11118,-54219,65337,104808,965,-176,1141,78636,71271,7365,10666,-50465,61131
452,4068,2007-07-03 00:00:00,64531,23704,13553,43184,14005,-33247,47252,98066,1343,1343,0,64531,40827,23704,13553,-29631,43184
452,3773,2007-07-10 00:00:00,64271,32473,18451,43673,18903,-28543,47446,105379,2481,2077,404,64271,31798,32473,18451,-25222,43673
483,3305,2007-07-17 00:00:00,63388,35819,23974,47518,24457,-26366,50823,113448,2532,1816,716,63388,27569,35819,23974,-23544,47518
0,2355,2007-07-24 00:00:00,69585,40185,22912,49898,22912,-29341,52253,118496,2504,1148,1356,69585,29400,40185,22912,-26986,49898
0,2519,2007-07-31 00:00:00,67665,57892,26503,32441,26503,-8457,34960,120150,2412,-122,2534,67665,9773,57892,26503,-5938,32441
0,1194,2007-08-07 00:00:00,60816,78277,33233,22080,33233,9959,23274,124614,2102,911,1191,60816,-17461,78277,33233,11153,22080
428,1302,2007-08-14 00:00:00,68186,69964,25782,27178,26210,-2270,28480,120196,863,-2538,3401,68186,-1778,69964,25782,-1396,27178
431,1281,2007-08-21 00:00:00,81618,69318,13548,22038,13979,-9340,23319,115065,450,-2813,3263,81618,12300,69318,13548,-8490,22038
436,1432,2007-08-28 00:00:00,87625,70663,15023,26311,15459,-12284,27743,122218,450,-3182,3632,87625,16962,70663,15023,-11288,26311
581,1480,2007-09-04 00:00:00,100661,66686,8564,37862,9145,-30197,39342,134503,450,-2722,3172,100661,33975,66686,8564,-29298,37862
579,450,2007-09-11 00:00:00,73350,82831,20783,15665,21362,5247,16115,138583,3086,61,3025,73350,-9481,82831,20783,5118,15665
1023,964,2007-09-18 00:00:00,12039,31670,25643,19380,26666,6322,20344,69496,3515,1098,2417,12039,-19631,31670,25643,6263,19380
593,1008,2007-09-25 00:00:00,11956,29771,26952,24660,27545,1877,25668,75070,5310,2893,2417,11956,-17815,29771,26952,2292,24660
593,1606,2007-10-02 00:00:00,14054,26728,27522,32228,28115,-5719,33834,79866,5439,3022,2417,14054,-12674,26728,27522,-4706,32228
1048,1355,2007-10-09 00:00:00,17496,23836,19183,28506,20231,-9630,29861,73146,5302,2885,2417,17496,-6340,23836,19183,-9323,28506
440,1355,2007-10-16 00:00:00,28051,24784,17143,31273,17583,-15045,32628,79718,5302,2885,2417,28051,3267,24784,17143,-14130,31273
440,450,2007-10-23 00:00:00,17990,27145,21934,21772,22374,152,22222,73381,3166,324,2842,17990,-9155,27145,21934,162,21772
440,450,2007-10-30 00:00:00,14423,33945,27698,20602,28138,7086,21052,76876,3116,-917,4033,14423,-19522,33945,27698,7096,20602
450,1583,2007-11-06 00:00:00,25698,36349,29288,31073,29738,-2918,32656,92816,2649,-768,3417,25698,-10651,36349,29288,-1785,31073
0,450,2007-11-13 00:00:00,15345,40427,29523,17738,29523,11335,18188,82993,2649,-768,3417,15345,-25082,40427,29523,11785,17738
1740,450,2007-11-20 00:00:00,13955,42836,33635,23197,35375,11728,23647,90472,2649,232,2417,13955,-28881,42836,33635,10438,23197
1605,450,2007-11-27 00:00:00,16103,40517,32552,23572,34157,10135,24022,90784,2584,-510,3094,16103,-24414,40517,32552,8980,23572
1684,904,2007-12-04 00:00:00,23201,37971,24879,22899,26563,2760,23803,86707,2160,-257,2417,23201,-14770,37971,24879,1980,22899
2763,904,2007-12-11 00:00:00,24917,37297,23027,23169,25790,1717,24073,91751,2160,-666,2826,24917,-12380,37297,23027,-142,23169
1809,450,2007-12-18 00:00:00,21727,26051,14942,21455,16751,-5154,21905,65701,1776,776,1000,21727,-4324,26051,14942,-6513,21455
1471,450,2007-12-24 00:00:00,25037,26959,13858,23481,15329,-8602,23931,66390,1293,1293,0,25037,-1922,26959,13858,-9623,23481
5817,450,2007-12-31 00:00:00,22289,28585,14546,23817,20363,-3904,24267,67423,1738,1738,0,22289,-6296,28585,14546,-9271,23817
6000,450,2008-01-08 00:00:00,18566,28814,15023,24204,21023,-3631,24654,67533,1602,602,1000,18566,-10248,28814,15023,-9181,24204
6232,450,2008-01-15 00:00:00,15561,34170,19872,21072,26104,4582,21522,74383,1602,602,1000,15561,-18609,34170,19872,-1200,21072
1070,450,2008-01-22 00:00:00,15736,49798,27604,12195,28674,16029,12645,79057,1602,602,1000,15736,-34062,49798,27604,15409,12195
1070,450,2008-01-29 00:00:00,16100,41020,28034,18258,29104,10396,18708,78538,1602,602,1000,16100,-24920,41020,28034,9776,18258
0,450,2008-02-05 00:00:00,17062,35363,21296,16771,21296,4075,17221,72201,1602,602,1000,17062,-18301,35363,21296,4525,16771
0,450,2008-02-12 00:00:00,15089,35722,17077,11148,17077,5479,11598,64584,1602,602,1000,15089,-20633,35722,17077,5929,11148
439,450,2008-02-19 00:00:00,21034,34267,22337,20827,22776,1499,21277,75709,1289,-237,1526,21034,-13233,34267,22337,1510,20827
991,450,2008-02-26 00:00:00,21040,43207,28935,21891,29926,7585,22341,87023,2591,733,1858,21040,-22167,43207,28935,7044,21891
1063,450,2008-03-04 00:00:00,25893,45232,24091,22636,25154,2068,23086,92364,2094,694,1400,25893,-19339,45232,24091,1455,22636
1145,576,2008-03-11 00:00:00,28653,43712,25439,26128,26584,-120,26704,98535,1930,480,1450,28653,-15059,43712,25439,-689,26128
1145,450,2008-03-18 00:00:00,4652,35489,24489,8649,25634,16535,9099,65722,1830,330,1500,4652,-30837,35489,24489,15840,8649
1147,450,2008-03-25 00:00:00,5879,31821,28254,14903,29401,14048,15353,70082,930,-570,1500,5879,-25942,31821,28254,13351,14903
1647,450,2008-04-01 00:00:00,7933,26415,27312,17707,28959,10802,18157,70451,930,-1174,2104,7933,-18482,26415,27312,9605,17707
1655,450,2008-04-08 00:00:00,11394,29561,22195,15395,23850,8005,15845,67109,930,-570,1500,11394,-18167,29561,22195,6800,15395
1672,874,2008-04-15 00:00:00,12136,32435,25280,13700,26952,12378,14574,71319,930,-570,1500,12136,-20299,32435,25280,11580,13700
1510,874,2008-04-22 00:00:00,14899,28601,21404,15423,22914,6617,16297,69982,450,-1461,1911,14899,-13702,28601,21404,5981,15423
670,2458,2008-04-29 00:00:00,16005,31491,24633,9800,25303,13045,12258,70575,450,-1445,1895,16005,-15486,31491,24633,14833,9800
717,2452,2008-05-06 00:00:00,27619,26948,15647,15312,16364,-1400,17764,74377,450,-550,1000,27619,671,26948,15647,335,15312
745,2400,2008-05-13 00:00:00,32755,21666,13739,24997,14484,-12913,27397,77847,450,-1550,2000,32755,11089,21666,13739,-11258,24997
752,2880,2008-05-20 00:00:00,19633,22808,17394,17342,18146,-2076,20222,72593,450,-2275,2725,19633,-3175,22808,17394,52,17342
765,1672,2008-05-27 00:00:00,27415,23880,16531,24135,17296,-8511,25807,79280,450,-2459,2909,27415,3535,23880,16531,-7604,24135
765,1782,2008-06-03 00:00:00,26842,19575,12101,16684,12866,-5600,18466,76030,872,-1821,2693,26842,7267,19575,12101,-4583,16684
858,2087,2008-06-10 00:00:00,22733,21726,13576,15806,14434,-3459,17893,74218,1117,-875,1992,22733,1007,21726,13576,-2230,15806
865,1782,2008-06-17 00:00:00,16851,6540,5648,18042,6513,-13311,19824,49890,450,-2542,2992,16851,10311,6540,5648,-12394,18042
866,2205,2008-06-24 00:00:00,13475,12032,9420,13736,10286,-5655,15941,52159,450,-2542,2992,13475,1443,12032,9420,-4316,13736
942,1199,2008-07-01 00:00:00,9324,20051,20482,17078,21424,3147,18277,64279,1472,-3707,5179,9324,-10727,20051,20482,3404,17078
972,1640,2008-07-08 00:00:00,12284,13789,13726,18478,14698,-5420,20118,57500,1951,-3393,5344,12284,-1505,13789,13726,-4752,18478
970,1728,2008-07-15 00:00:00,9329,30609,26302,15477,27272,10067,17205,69645,1951,-3604,5555,9329,-21280,30609,26302,10825,15477
0,1686,2008-07-22 00:00:00,15690,15140,11573,15076,11573,-5189,16762,58335,1951,-3486,5437,15690,550,15140,11573,-3503,15076
0,1762,2008-07-29 00:00:00,26501,11366,9881,19663,9881,-11544,21425,63505,929,-4349,5278,26501,15135,11366,9881,-9782,19663
0,1756,2008-08-05 00:00:00,33747,11911,8678,22093,8678,-15171,23849,66469,450,-4932,5382,33747,21836,11911,8678,-13415,22093
0,2162,2008-08-12 00:00:00,36273,16222,8179,20147,8179,-14130,22309,66854,450,-1887,2337,36273,20051,16222,8179,-11968,20147
0,2046,2008-08-19 00:00:00,39293,14312,6105,22381,6105,-18322,24427,71396,450,-2678,3128,39293,24981,14312,6105,-16276,22381
0,2075,2008-08-26 00:00:00,44874,14784,7040,25774,7040,-20809,27849,76101,450,-3814,4264,44874,30090,14784,7040,-18734,25774
0,2066,2008-09-02 00:00:00,43093,15267,6264,24579,6264,-20381,26645,74619,450,-2812,3262,43093,27826,15267,6264,-18315,24579
0,2118,2008-09-09 00:00:00,43441,17103,6188,23007,6188,-18937,25125,77216,450,-1809,2259,43441,26338,17103,6188,-16819,23007
0,2168,2008-09-16 00:00:00,15566,2472,3818,19678,3818,-18028,21846,46986,10935,10935,0,15566,13094,2472,3818,-15860,19678
0,2048,2008-09-23 00:00:00,12233,15999,5948,13438,5948,-9538,15486,51576,11496,11496,0,12233,-3766,15999,5948,-7490,13438
0,1586,2008-09-30 00:00:00,11315,11387,3404,11687,3404,-9869,13273,49478,10680,10680,0,11315,-72,11387,3404,-8283,11687
0,1844,2008-10-07 00:00:00,11699,10499,5303,14862,5303,-11403,16706,47954,11034,11034,0,11699,1200,10499,5303,-9559,14862
0,2161,2008-10-14 00:00:00,13551,12616,2738,14230,2738,-13653,16391,47873,12984,12984,0,13551,935,12616,2738,-11492,14230
646,2162,2008-10-21 00:00:00,14016,5224,2052,18407,2698,-17871,20569,50937,12871,12871,0,14016,8792,5224,2052,-16355,18407
601,1740,2008-10-28 00:00:00,13102,5296,1980,18296,2581,-17455,20036,52109,13335,13335,0,13102,7806,5296,1980,-16316,18296
557,1460,2008-11-04 00:00:00,13223,11563,3105,13529,3662,-11327,14989,55546,13952,13424,528,13223,1660,11563,3105,-10424,13529
561,1468,2008-11-11 00:00:00,13674,9260,3051,13984,3612,-11840,15452,51816,13881,13004,877,13674,4414,9260,3051,-10933,13984
0,1488,2008-11-18 00:00:00,14717,6068,3848,20236,3848,-17876,21724,59623,14447,14447,0,14717,8649,6068,3848,-16388,20236
0,1388,2008-11-25 00:00:00,16201,4975,2989,20508,2989,-18907,21896,57529,13721,13721,0,16201,11226,4975,2989,-17519,20508
0,1422,2008-12-02 00:00:00,17778,4949,1534,22100,1534,-21988,23522,58381,13970,13970,0,17778,12829,4949,1534,-20566,22100
0,1460,2008-12-09 00:00:00,17831,5241,1154,20085,1154,-20391,21545,47352,13090,13090,0,17831,12590,5241,1154,-18931,20085
0,1534,2008-12-16 00:00:00,4115,3798,745,6147,745,-6936,7681,26879,3142,3142,0,4115,317,3798,745,-5402,6147
468,1306,2008-12-22 00:00:00,3843,11074,2848,6192,3316,-4182,7498,33153,4138,4138,0,3843,-7231,11074,2848,-3344,6192
468,1210,2008-12-30 00:00:00,4011,12434,3381,6419,3849,-3780,7629,33894,4251,4251,0,4011,-8423,12434,3381,-3038,6419
560,1225,2009-01-06 00:00:00,3348,9499,3962,7998,4522,-4701,9223,34150,2426,2426,0,3348,-6151,9499,3962,-4036,7998
494,1256,2009-01-13 00:00:00,4429,8132,2852,7968,3346,-5878,9224,32047,2981,2981,0,4429,-3703,8132,2852,-5116,7968
451,1279,2009-01-20 00:00:00,4170,5392,3083,8032,3534,-5777,9311,32518,3591,3591,0,4170,-1222,5392,3083,-4949,8032
451,1380,2009-01-27 00:00:00,10739,5678,1812,10926,2263,-10043,12306,35888,3111,3111,0,10739,5061,5678,1812,-9114,10926
0,1433,2009-02-03 00:00:00,10334,5012,1847,11413,1847,-10999,12846,36797,2975,2975,0,10334,5322,5012,1847,-9566,11413
0,1417,2009-02-10 00:00:00,14607,3319,1960,13678,1960,-13135,15095,37523,3248,3248,0,14607,11288,3319,1960,-11718,13678
0,1412,2009-02-17 00:00:00,15204,2714,3049,15366,3049,-13729,16778,40558,4168,4168,0,15204,12490,2714,3049,-12317,15366
0,1408,2009-02-24 00:00:00,17475,3203,3957,14470,3957,-11921,15878,41074,1880,1880,0,17475,14272,3203,3957,-10513,14470
0,1408,2009-03-03 00:00:00,20612,2352,2382,16180,2382,-15206,17588,43738,2661,2661,0,20612,18260,2352,2382,-13798,16180
0,992,2009-03-10 00:00:00,16338,4535,3101,14379,3101,-12270,15371,44128,1433,1433,0,16338,11803,4535,3101,-11278,14379
0,1022,2009-03-17 00:00:00,15174,864,3216,13119,3216,-10925,14141,37108,2704,2704,0,15174,14310,864,3216,-9903,13119
0,1029,2009-03-24 00:00:00,9562,8704,4814,6852,4814,-3067,7881,34172,851,851,0,9562,858,8704,4814,-2038,6852
0,1018,2009-03-31 00:00:00,10312,9846,2739,6243,2739,-4522,7261,34866,839,839,0,10312,466,9846,2739,-3504,6243
0,1025,2009-04-07 00:00:00,10595,8383,1825,5125,1825,-4325,6150,32106,1542,1542,0,10595,2212,8383,1825,-3300,5125
0,1028,2009-04-14 00:00:00,15057,9030,2810,5972,2810,-4190,7000,33579,44,44,0,15057,6027,9030,2810,-3162,5972
0,1037,2009-04-21 00:00:00,20752,1467,5002,16580,5002,-12615,17617,40122,438,438,0,20752,19285,1467,5002,-11578,16580
0,1012,2009-04-28 00:00:00,15292,4748,4452,7648,4452,-4208,8660,33268,27,27,0,15292,10544,4748,4452,-3196,7648
0,978,2009-05-05 00:00:00,12579,9828,4319,3045,4319,296,4023,33039,16,16,0,12579,2751,9828,4319,1274,3045
0,925,2009-05-12 00:00:00,10241,17269,8112,2590,8112,4597,3515,38273,18,18,0,10241,-7028,17269,8112,5522,2590
0,972,2009-05-19 00:00:00,10566,20845,10790,3260,10790,6558,4232,42133,10,10,0,10566,-10279,20845,10790,7530,3260
0,982,2009-05-26 00:00:00,9627,23376,13534,3720,13534,8832,4702,46505,11,11,0,9627,-13749,23376,13534,9814,3720
0,911,2009-06-02 00:00:00,9859,27457,15019,2909,15019,11199,3820,49809,13,13,0,9859,-17598,27457,15019,12110,2909
0,912,2009-06-09 00:00:00,10566,26811,14348,3823,14348,9613,4735,51827,0,0,0,10566,-16245,26811,14348,10525,3823
0,795,2009-06-16 00:00:00,1514,17117,15881,5445,15881,9641,6240,34352,0,0,0,1514,-15603,17117,15881,10436,5445
0,1488,2009-06-23 00:00:00,1987,26722,22026,4032,22026,16506,5520,43822,0,-549,549,1987,-24735,26722,22026,17994,4032
0,953,2009-06-30 00:00:00,3323,20780,15417,2435,15417,12029,3388,37662,0,0,0,3323,-17457,20780,15417,12982,2435
0,945,2009-07-07 00:00:00,2058,22838,16364,1361,16364,14058,2306,36932,0,0,0,2058,-20780,22838,16364,15003,1361
0,900,2009-07-14 00:00:00,2970,19466,16012,3447,16012,11665,4347,37678,0,0,0,2970,-16496,19466,16012,12565,3447
0,942,2009-07-21 00:00:00,1934,27101,20061,3803,20061,15316,4745,43187,0,0,0,1934,-25167,27101,20061,16258,3803
0,1584,2009-07-28 00:00:00,1992,25072,18585,1903,18585,15098,3487,40894,0,0,0,1992,-23080,25072,18585,16682,1903
0,1587,2009-08-04 00:00:00,1746,28997,21021,3283,21021,16151,4870,45887,0,0,0,1746,-27251,28997,21021,17738,3283
363,1624,2009-08-11 00:00:00,7134,15053,10702,8228,11065,1213,9852,35956,0,0,0,7134,-7919,15053,10702,2474,8228
509,877,2009-08-18 00:00:00,4470,17202,11101,3820,11610,6913,4697,33396,0,0,0,4470,-12732,17202,11101,7281,3820
509,902,2009-08-25 00:00:00,3074,32176,23391,4671,23900,18327,5573,49537,0,-526,526,3074,-29102,32176,23391,18720,4671
513,881,2009-09-01 00:00:00,4533,31211,19523,2677,20036,16478,3558,48005,0,0,0,4533,-26678,31211,19523,16846,2677
513,907,2009-09-08 00:00:00,5583,36769,23244,4098,23757,18752,5005,53976,0,0,0,5583,-31186,36769,23244,19146,4098
513,880,2009-09-15 00:00:00,560,34084,23515,3137,24028,20011,4017,47258,0,0,0,560,-33524,34084,23515,20378,3137
1154,884,2009-09-22 00:00:00,596,39116,28356,4304,29510,24322,5188,54727,0,0,0,596,-38520,39116,28356,24052,4304
1154,852,2009-09-29 00:00:00,1300,34183,22681,3333,23835,19650,4185,47903,0,0,0,1300,-32883,34183,22681,19348,3333
1280,862,2009-10-06 00:00:00,1455,37809,27241,3227,28521,24432,4089,52625,0,0,0,1455,-36354,37809,27241,24014,3227
1309,910,2009-10-13 00:00:00,2182,39189,26615,2790,27924,24224,3700,52670,0,0,0,2182,-37007,39189,26615,23825,2790
1310,862,2009-10-20 00:00:00,2478,41775,29109,4102,30419,25455,4964,57755,0,0,0,2478,-39297,41775,29109,25007,4102
1310,821,2009-10-27 00:00:00,4394,36682,24379,4108,25689,20760,4929,53832,0,0,0,4394,-32288,36682,24379,20271,4108
769,1311,2009-11-03 00:00:00,6259,35629,21408,1052,22177,19814,2363,50149,0,0,0,6259,-29370,35629,21408,20356,1052
769,1323,2009-11-09 00:00:00,5690,41375,25349,2124,26118,22671,3447,56119,0,0,0,5690,-35685,41375,25349,23225,2124
875,1341,2009-11-17 00:00:00,7725,40696,25494,1890,26369,23138,3231,56534,0,0,0,7725,-32971,40696,25494,23604,1890
875,1336,2009-11-24 00:00:00,9598,39972,23061,2725,23936,19875,4061,56988,0,0,0,9598,-30374,39972,23061,20336,2725
1061,822,2009-12-01 00:00:00,6927,40854,26348,5617,27409,20970,6439,60045,0,0,0,6927,-33927,40854,26348,20731,5617
1061,1460,2009-12-08 00:00:00,9464,26042,18013,5640,19074,11974,7100,51469,0,0,0,9464,-16578,26042,18013,12373,5640
2280,1779,2009-12-15 00:00:00,8298,10005,8610,10907,10890,-1796,12686,36063,0,0,0,8298,-1707,10005,8610,-2297,10907
1012,1690,2009-12-22 00:00:00,12489,7724,9130,13082,10142,-4630,14772,36996,0,0,0,12489,4765,7724,9130,-3952,13082
1030,1121,2009-12-29 00:00:00,16316,7614,9851,16725,10881,-6965,17846,40737,675,675,0,16316,8702,7614,9851,-6874,16725
1093,1106,2010-01-05 00:00:00,12208,8771,10189,14584,11282,-4408,15690,37994,0,0,0,12208,3437,8771,10189,-4395,14584
1085,1016,2010-01-12 00:00:00,6186,21897,15939,4619,17024,11389,5635,40405,0,0,0,6186,-15711,21897,15939,11320,4619
984,1036,2010-01-19 00:00:00,6660,24749,14254,2622,15238,11580,3658,40172,618,618,0,6660,-18089,24749,14254,11632,2622
984,1076,2010-01-26 00:00:00,10852,13979,9548,6115,10532,3341,7191,36912,968,968,0,10852,-3127,13979,9548,3433,6115
1221,1163,2010-02-02 00:00:00,15452,9338,8372,11517,9593,-3087,12680,39460,0,0,0,15452,6114,9338,8372,-3145,11517
1215,976,2010-02-09 00:00:00,23278,9499,6057,14918,7272,-8622,15894,45184,0,0,0,23278,13779,9499,6057,-8861,14918
1274,1489,2010-02-16 00:00:00,23124,9459,5031,16109,6305,-11293,17598,44048,0,0,0,23124,13665,9459,5031,-11078,16109
1240,1446,2010-02-23 00:00:00,28040,9430,5931,19815,7171,-14090,21261,49031,0,0,0,28040,18610,9430,5931,-13884,19815
1376,1057,2010-03-02 00:00:00,23938,9984,5541,16748,6917,-10888,17805,46351,0,0,0,23938,13954,9984,5541,-11207,16748
1376,1066,2010-03-09 00:00:00,22495,9561,5424,16585,6800,-10851,17651,49600,0,0,0,22495,12934,9561,5424,-11161,16585
1107,1032,2010-03-16 00:00:00,10442,3191,7242,16149,8349,-8832,17181,34188,0,0,0,10442,7251,3191,7242,-8907,16149
1230,1056,2010-03-23 00:00:00,8895,8992,8079,10558,9309,-2305,11614,33245,0,-972,972,8895,-97,8992,8079,-2479,10558
1190,1082,2010-03-30 00:00:00,11099,4309,5517,11501,6707,-5876,12583,30682,0,-1198,1198,11099,6790,4309,5517,-5984,11501
1150,990,2010-04-06 00:00:00,10597,7474,7965,11865,9115,-3740,12855,35347,0,-456,456,10597,3123,7474,7965,-3900,11865
1115,1028,2010-04-13 00:00:00,11819,6295,8618,14257,9733,-5552,15285,36282,0,0,0,11819,5524,6295,8618,-5639,14257
